Плюс очко|Очевидное плюс очко.
Турбокнопки юзал?|Плюс 2 очка если играешь сейчас в свою текущую игру на TG16. Минус очко в ином случае. Минус 5 очков, если использовал турбокнопки в своей текущей игре, играя не на TG16, а чат предоставит железобетонный пруф этого действия.
Дурак и молния|Плюс 2 очка если в твоей текущей игре ты видел молнию и дурака. Если в игре отсутствуют существа к которым применимо слово «дурак», то ты можешь заклеймить себя дураком и получить плюс очко даже без наличия молний в игре. Минус очко в ином случае.
Акклиматизация|Брось монетку на результат вперед или назад. Затем иди на пять клеток в сторону, которая определилась монеткой.
Крысопокалипсис|Начинается Великий Уравнивающий Крысопокалипсис! Все Крысиные Предметы у всех стримеров (включая тебя) уничтожаются, а затем каждому участнику (включая тебя) дается по две Крысы.
EXPLOOOOSION!|Если в твоей текущей игре ты видел или делал взрывы в любом виде (магия, бомбы, гранаты и т.д.) - плюс очко. Минус очко в ином случае.
Физические копии игр не умирают!|Ты должен найти обложку физической копии своей текущей игры в интернете. Если обложка найдена - плюс очко. Минус очко в ином случае. Ты можешь нарисовать обложку в Paint или запрячь художника в чате для этого, и таким образом за рисунок можно получить плюс 2 очка, однако ИИ-инструментами пользоваться нельзя. Если у игры есть только цифровая версия или никто не хочет рисовать обложку - реролл Колеса добра.
Лок ФПС|Если в твоей текущей игре ты видел таймер, и он идет быстрее или медленнее чем реальные секунды, то ты получаешь плюс очко. Минус очко в ином случае. Если таймер отсутствует - реролл Колеса добра.
Дырка|Плюс очко. А также минус столько очков, сколько дырок в цифрах будет содержаться в сумме следующего доната. Пример: 100 ₽ - минус 2 очка, 188 ₽ - минус 4 очка, 1999 ₽ - минус 3 очка, 257 ₽ - минус очков нет.
Пиздaк|Напугался? Плюс 2 очка и шаг вперед на карте.
Молоток!|Ты молоток! Но RGG это тебе не столярная мастерская, поэтому минус 2 очка.
Почему такое название?|Если последняя цифра года выхода твоей текущей игры четная - плюс очко. Минус очко в ином случае. Считается самый ранний релиз игры.
Смертельный номер|Если в твоей текущей игре ты видел цифры на фоне, карте или персонажах (меню и интерфейс не считаются), получи плюс очко. Минус очко в ином случае.
Просочился|Ты телепортируешься на одну клетку ниже той на которой находишься, если она находится на расстоянии одного ряда. Плюс очко в ином случае.
Щеманули|Все Спецроллы уничтожаются из твоего инвентаря. Если Спецроллов нет или в инвентаре только Спецроллы повышенного приоритета - плюс очко.
Колесо наказало|Минус 2 очка тебе, плюс очко всем остальным в онлайне.
Колесо сильно наказало|Минус 3 очка тебе, плюс очко всем остальным в онлайне.
So hot|Плюс очко если в твоей текущей игре ты видел вулкан или лаву. Минус очко в ином случае.
Мы достигли предела, капитан|Сброс стоимости Колеса добра до начальной, если Колесо добра сейчас стоит 3000 ₽ и более. Минус очко в ином случае.
Некстген?|Плюс очко если в твоей текущей игре 3D-графон. Минус очко в ином случае.
Огненный дождь|Минус очко если в твоей текущей игре ты видел или пользовался огнестрельным или огнеметательным оружие (фаерболлы тоже считаются). Плюс очко в ином случае.
Опасная трясина|Минус очко если ты находишься в пустынном биоме, ледяном биоме или в кошачьем лотке на карте RGG-LAND. Плюс очко в ином случае.
Реализм|Минус очко, если в твоей текущей игре ты видел нереалистичные вещи: магию, прыжки от воздуха, телепортацию и т.д. Плюс очко в ином случае.
Знание языков|Плюс очко за каждую пройденную тобой игру в этом сезоне RGG-LAND на не-английском языке и не-русском языке. Реролл Колеса добра, если все пройденные игры у тебя были на английском или русском, а также если пройденных игр еще нет.
Валет и Дама|Сгенерируй пять раз две случайные карты из колоды в 36 карт. Если за эти попытки выпадает одновременно Валет и Дама - минус 2 очка. Плюс очко в ином случае.|lnk=https://rangen.ru/other/cards/
Ведьма и осел|Минус очко если в твоей текущей игре ты превращался в животных или превращал в них противников. Плюс очко в ином случае. Считается только полноценная трансформация, то есть наличие отдельных ушей, хвостов, других частей тела или костюм животного - не считаются за превращение.
Жаль нет ружья|Минус очко если в твоей текущей игре ты видел или пользовался пороховым огнестрельным оружия. Плюс очко в ином случае. Всякие там бластеры и лазерные пушки не считаются.
В соляново|Минус очко если в твоей текущей игре есть режим на двоих или нескольких игроков. Считается любой режим - кооп, друг против друга и т.д. Плюс очко в ином случае.
Я не плачу, это просто дождь|Если в твоей текущей игре ты видел дождь, то ты получаешь минус очко. Плюс очко в ином случае.
100 часов|Роллишь игру из списка «Кот в мешке». Если на экране генератора присутствует RPG, то получаешь плюс очко за каждую. Посмотреть критерии определения RPG можно в правилах RGG-LAND. Минус очко если среди пяти игр на экране генератора нет RPG. Наролленную игру (как и другие показанные на экране генератора) проходить при этом не нужно.
Ежедневный замер перхапса|Если у тебя положительный баланс очков, то иди вперед на данное количество положительных очков. Если у тебя отрицательный баланс очков, то иди назад на данное количество отрицательных очков. Очков при этом становится ноль. Если у тебя ноль очков - плюс очко и крути Колесо добра еще раз.
Путь Света|Если в твоей текущей игре ты видел какой-либо яркий световой предмет - фонарь, лампа, свеча и т.д., получаешь плюс очко. Дополнительное плюс очко если видел в игре какой-либо необычный световой предмет - лазерный меч, столбы света и т.п. Если ничего такого нет - минус очко. Можешь не получать минус очко, если будешь сидеть в темноте следующие полчаса, освещая себя любым источником света типа фонарика, неоновой подсветки, лава-лампы и т.д. (плюс очки при этом не получаешь).
Лесник|Если в твоей текущей игре ты сталкивался с хищными животными, то тебе отгрызают ногу (получи Эффект Брадхайский кубик), а также ты получаешь минус очко. Плюс очко в ином случае.
Кукла колдуна|Выбираешь любого другого стримера из тех кто в онлайне. Выбранный стример передвигается вперед или назад на количество клеток от одной до четырех по твоему выбору. Если ты единственный в онлайне, то делаешь все эти действия сам для себя.
Ели мясо мужики|Если ты в своей текущей игре скипал диалоги и не вникал в сюжет - минус очко. Если ты ответственно подходил к делу и вникал в происходящее - плюс очко. Если сюжет в игре отсутствует или не на английском и не на русском языке, а также если ты еще не начинал прохождение своей текущей игры - реролл Колеса добра.
Любитель поострее|Плюс очко если в твоей текущей игре ты видел шипы. Минус очко в ином случае.
Дерни рычаг!|Плюс очко если в твоей текущей игре ты видел какие-либо рычаги. Рубильники - не рычаги! Минус очко в ином случае.
Обучение для слабаков|Минус очко если в твоей текущей игре есть обучающий уровень в котором рассказывается про основы игры. Тренировочный уровень считается за обучающий. Плюс очко в ином случае.
Тик-так|Минус очко если в твоей текущей игре ты видел таймер в любом виде. Плюс очко в ином случае.
Молчание - золото|Плюс очко если главный герой в твоей текущей игре все время молчит. Минус очко в ином случае. Текст в диалогах без озвучки считается за голос. Если в игре нет главного героя или его невозможно идентифицировать - реролл Колеса добра.
БезДна|Минус очко если в твоей текущей игре ты видел пропасти. Плюс очко в ином случае.
Скорая помощь|Аптечка в инвентарь если в твоей текущей игре ты видел или пользовался аптечками или какими-либо другими лечащими предметами. Минус очко в ином случае.
Бонус за бонус|Плюс очко если в твоей текущей игре ты был в бонусных уровнях. Если нет, то ничего страшного, генератор сейчас добрый, делай реролл Колеса добра.
Свин или не свин?|Если во время своего текущего стрима ты кушал - минус очко, т.к. наверняка не делился с чатом. Плюс очко если ты не кушал или кушаешь прямо сейчас. Дополнительное плюс очко если кушаешь прямо сейчас пирожочек.
Оптимальное время|Плюс очко если с начала твоего стрима прошло 3 часа, но не более 6 часов. Минус очко в ином случае.
Брат по знаку|Выбери рандомно другого стримера из тех кто в онлайне. Если у выбранного стримера знак очков (положительный или отрицательный) такой же как у тебя, то оба получаете по плюс очку. Если знак очков разный, то тот, у кого минус, получает плюс очко, а тот у кого плюс - минус очко. Если хотя бы у одного из вас при этом ноль очков, оба получаете минус 2 очка. Если ты единственный в онлайне - реролл Колеса добра.
Двоичный код|Текущий час по твоему местному времени переводится в двоичную систему. Считается 24-часовой день. 00:00 по 00:59 считается как 24. Сколько единиц будет в получившимся числе, столько плюс очков получаешь. Например: у тебя 21:15 по местному времени, 21 в двоичной системе - 00010101, три единицы - тебе плюс 3 очка.
Свинарник|Если в твоей текущей игре ты видел свиней в любом виде (к примеру, Бибоп из Черепашек-Ниндзя или Ганон из Зельды тоже считаются за свинью) - минус очко. Плюс очко в ином случае. Дополнительные плюс 2 очка если у тебя есть Свиной Предмет в инвентаре.
Велл дан фортисевен|Если в твоей текущей игре у главного героя короткие волосы - плюс очко. Если длинные - минус очко. Если герой лысый - плюс 2 очка. Дополнительное плюс очко если лысый ты сам. Если определить длину волос или главного героя затруднительно  - реролл Колеса добра.
АААААААААААААааааааавтомобиль!|Если ты до выпадения этого пункта, ты во время своей текущей игры крутил четыре или более Колеса, то ты собираешь автомобиль и идешь на пять клеток вперед. Реролл Колеса добра в ином случае.
Два друга и разбойники|Выбери себе друга из других стримеров в онлайне и теперь у тебя дилемма. Вариант 1: Ты идешь на одну, две или три клетки вперед, но друг идет на пять клеток назад и получает минус 5 очков. Вариант 2: Ты идешь на пять клеток назад, друг при этом остается на месте и получает плюс 3 очка и крутит бесплатное Колесо добра. Другие варианты не принимаются. Если ты единственный в онлайне - реролл Колеса добра.
Садовник|Минус очко если в твоей текущей игре ты видел цветы. Ромашка в инвентарь в ином случае.
Меняла|Можно обменять Спецролл на прокрут Колеса добра. Можно обменять любое количество Спецроллов. Действия нужно делать по порядку: обмен - прокрут - обмен - прокрут, нельзя сказать что-то типа «меняю пять Спецроллов» и крутить сразу пять колес. Обмен Спецролла = его уничтожение. Если ты не желаешь менять Спецроллы, они у тебя отсутствуют или есть только Спецроллы повышенного приоритета - плюс очко.
Батя грит малаца|Если у тебя есть две пройденные игры с ZX Spectrum, две пройденные игры с DOS, две пройденные игры c C64 в текущем сезоне RGG-LAND, то получаешь плюс 2 очка за каждые две игры с каждой платформы. Реролл Колеса добра в ином случае. По одной пройденной игре, допустим, с Доса и Спектрума не считается. Пример: Ты прошел 2 игры с ZX Spectrum, одну с DOS и ни одной с С64 - получаешь плюс 2 очка; ты прошел ноль игр с ZX Spectrum, 2 c DOS и 2 c C64 - получаешь плюс 4 очка.
Красавица и Чудовище|Если в твоей текущей игре главный герой няшка - плюс очко за милоту, если страшный монстр - увы минус очко. Главного героя нет или его невозможно идентифицировать - реролл Колеса добра. Впрочем, если ты считаешь, к примеру, космические корабли монстрами или няшками...
Группа крови|Брось кубик d4, а затем монетку на отрицательный или положительный знак. Затем получаешь столько плюс или минус очков сколько выпало на кубике. Если у тебя выпала четвертая отрицательная, то дополнительно получаешь Шоколадку в инвентарь, а если первая положительная, то дополнительно Рыбий жир в инвентарь. Дополнительное плюс очко если скажешь с пруфами какая у тебя группа крови.
Можно ли написать разрабу в твиттер?|Если компания-разработчик твоей текущей игры до сих пор существует и продолжает разрабатывать игры - плюс очко. Если же она мертва, то минус 2 очка. Если у компании произошло слияние с кем-либо, она считается живой (если, конечно, ее не расформировали после слияния). Если о компании нет никакой информации в интернете - реролл Колеса добра.
Викторина|Ответь на пять рандомных вопросов на сайте без подсказок. Плюс очко за каждый верный ответ. Минус очко за каждый неверный ответ. Очки выдаются по отдельности за каждый ответ.|lnk=https://randstuff.ru/question/
Аквариум|Минус очко если в твоей текущей игре ты видел рыб. Плюс очко в ином случае.
Колесный магнат|Минус 2 очка, если этот пункт выпал когда есть очередь из Колес добра. Плюс очко, если после выпадения этого пункта ты не будешь крутить Колесо добра.
Защитник свиней|Плюс очко за каждый Свиной предмет в инвентаре у стримеров, которые находятся сейчас онлайн (включая тебя). Минус очко в ином случае.
Ископаемое|Если твоя текущая игра старше тебя - плюс очко. Минус очко в ином случае. Считается самый ранний релиз игры.
Ебаный сыр|Покрути Колесо добра за каждого стримера в онлайне (включая себя) у которого есть в инвентаре любой Крысиный Предмет. Плюс очко если пообещаешь съесть сегодня что-нибудь с сыром, а также плюс очко если Крысиных Предметов ни у кого нет. Дополнительное плюс очко если сможешь назвать самостоятельно и без подсказок десять видов сыра. Дополнительные плюс 2 очка если в течение всего времени своего текущего стрима, ты будешь перекусывать чем-нибудь с сыром на вебку. Дополнительные плюс 2 очка если в твоей текущей игре есть сыр. Дополнительные плюс 3 очка если у тебя есть сыр и какой-нибудь картридж, и ты готов натереть сыр на картридж на вебку.
Котобус|Плюс очко если в твоей текущей игре ты видел котиков. Если котиков в игре нет, ты можешь заработать плюс очко, показав на вебку своего котика. Если котиков несколько, то плюс очко за каждого показанного. Если все равно нет - минус очко.
Палочка-выручалочка|Если в других четырех пунктах на экране генератора есть пункты на плюс-минус очки, то выполняешь их все в порядке очереди сверху вниз. Если таковых пунктов нет, получи палкой по пяткам - минус 3 очка. Не учитываются пункты где кроме получения плюс-минус очков делается или выдается что-то еще. Пример пунктов на плюс-минус очки: Скачок, Минус очко всем, Итальянский прыжок.
Да сколько можно?|Минус очко. Крути Колесо добра еще раз и если в следующем пункте снова получаешь минус очко (очки), то они умножаются на 2.
Почему он, а не я?|Плюс 2 очка другому рандомно выбранному стримеру, находящемуся сейчас в онлайне. Еще плюс 2 очка ему же, если выпавший стример находится ближе всех к тебе на карте. Минус 2 очка, если ты единственный в онлайне - потому что ты не он.
Гадание по вебке|Если в момент выпадения пункта твоя вебка находится на левой стороне экрана - плюс очко. Если на правой - минус очко. Если вебка сейчас выключена - минус 2 очка. Если вебка находится ровно посередине - Реролл в инвентарь. Реролл Колеса добра если стримишь без вебки.
Левая и правая|Если в момент выпадения пункта твоя вебка находится на левой стороне экрана - минус очко. Если на правой - плюс очко. Если вебка сейчас выключена - плюс 2 очка. Если вебка находится ровно посередине - Реролл в инвентарь. Реролл Колеса добра если стримишь без вебки.
Камнем по голове|Если в твоей текущей игре ты сталкивался с падающими камнями - плюс очко. Плюс еще очко если персонаж, которым ты управляешь хотя бы раз умер от падающего камня. Дополнительное плюс очко если играешь за камень. Минус очко в ином случае.
Модератор на месте?|Плюс очко за каждого присутствующего модератора на стриме (модератор должен пруфануть свой статус написанием в чат любого сообщения). Минус 2 очка если модераторов нет, ибо некому банить. Один модератор = одно плюс очко, даже если он модератор на нескольких платформах. Боты-модераторы и ты сам не считаетесь.
Плюс 250 бб лох|Плюс очко за каждый рейд, полученный тобой на твоем текущем стриме, включая все платформы, на которые ты рестримишь. Рейды с 1-10 зрителями не считаются. Минус очко если рейдов не было.
Округление|Твои очки округляются до круглого числа при любом знаке (положительном или отрицательном). 1-4 округляются до 0, 5-14 до 10, 15-24 до 20, 25-34 до 30 и т.д. Если очки и так округлены - плюс очко.
Герой|Если ты прошел хоть одну игру из списка жанров, которые можно рероллить, то ты Герой! Получи плюс 10 очков и Мошну. Если же ты не герой и не прошел ни одной такой игры, а такие игры рероллил, то активируется пункт «Я запрещаю рероллить». Если ты дропал такую игру - получаешь Двойной дроп. Если игры реролльных жанров не выпадали - реролл Колеса добра.
Кротхаус|Плюс очко, если в твоей текущей игре ты видел кротов, хомяков, крыс и прочих грызунов. Минус очко в ином случае.
Все игры пройду! Все разъебу!|Если ты прошел хотя бы по одной игре со следующих платформ: NES, Game Boy, Master System, Game Gear, SMD, SNES, TG16, GBA, DOS, С64, Amiga, PS1 - получаешь плюс 10 очков. Если пройдено 6 игр с шести разных платформ из списка - плюс 6 очков. Если пройдено 7 игр с семи разных платформ из списка - плюс 7 очков. Если пройдено 8 игр с восьми разных платформ из списка - плюс 8 очков. Если пройдено 9 игр с девяти разных платформ из списка - плюс 9 очков. Если пройдено 5 игр с пяти разных платформ из списка или меньше - плюс очко за каждую, а также получаешь Спецролл NES, чтобы знал с чего RGG начинается! Если никакие условия не подходят - реролл Колеса добра.
Сладость или гадость?|Ты обязан переместить любого другого стримера на свой выбор из тех кто в онлайне, кроме себя, на количество своих очков. Если очков положительное количество, то перемещение вперед, если отрицательное то назад. Очки у тебя при этом не пропадают. Если у тебя 0 очков, то этот самый другой стример получает либо Гирю либо Редкие Сапоги-скороходы на твой выбор. Реролл Колеса добра если ты единственный в онлайне.
Ты че, богатый дофига?|Если у тебя положительное количество очков - минус 5 очков. Если у тебя ноль или отрицательное количество очков - плюс 5 очков.
Шаббат|Если сейчас суббота по твоему текущему времени - минус очко, приличные люди таки отдыхают, а не стримят, ой-вей, нечего было заводить. Плюс очко если сейчас любой другой день недели.
Бафомет|Если в твоей текущей игре ты видел демонов или оккультистов - минус очко. Плюс очко в ином случае, т.к. ты под божественной защитой.
Вышел заяц на крыльцо|Закажи из доставки (или сходи в магазин после стрима) Киндер-Сюрприз. Плюс очко если выпала классная игрушка. Плюс 2 очка если выпал заяц. Если игрушки субъективно пососные - минус очко. Плюс-минус очки добавляются только при показе игрушки, из приобретенного тобой Киндер-Сюрприза.
Древние знания|Плюс очко если для твоей текущей игры есть гайд на Геймфаке. Минус очко в ином случае.|lnk=https://gamefaqs.gamespot.com/
Безумный азарт|Возьми колоду карт, перетасуй ее, после чего доставай по очереди карты в количестве десяти штук, показывая каждую вытащенную на вебку. Очки начисляются в зависимости от масти. Плюс очко за буби, плюс 2 очка за черви, минус очко за трефы, минус 2 очка за пики. Если у тебя дома нет карт (то неплохо купить уже, стоят пять копеек, ради контента) можно воспользоваться генератором с показыванием по одной карте по ссылке. Каждое получение очков во время выполнения данного пункта учитываются отдельно. Если по итогу оказалось ноль очков - тянешь еще одну бонусную карту.|lnk=http://castlots.org/generator-igralnyh-kart/
Ну это провал|Если в процессе прохождения своей текущей игры найдешь провал, яму, дыру в земле или любое похожее препятствие, то получаешь плюс очко и должен сказать "Не, ну это провал". Если в процессе прохождения игры не нашлось ни одного провала, или ты не сказал "Не, ну это провал", то это успех - минус очко.
Моя любимая механика|Если в твоей текущей игре ты сталкивался с ЕБАНОЙ механика скольжения, то ты получаешь плюс очко, ибо механика и так ебаная. Если нет, то минус очко, все по чесноку.
Краб-рейв|Минус очко если в твоей текущей игре ты видел крабов. Плюс очко в ином случае. Можно заработать дополнительное плюс очко за каждый из следующих случаев: 1) Ты находишься рядом с крабом на карте RGG-LAND; 2) Ты сам себя считаешь крабом или раком; 3) Ты кушал, кушаешь или планируешь кушать сегодня крабов на стриме (крабовые палочки тоже считаются).
Ноудес|Минус очко если в твоей текущей игре нельзя умереть. Плюс очко в ином случае.
Пиздak|Напугался? Ну и зря. Иди на три клетки вперед.
Пиздачелло|Subtrai 2 punti.
Скaчок|Обрадовался? Молодец. Плюс 3 очка.
Золотишко|Если в твоей текущей игре ты видел мешки с золотом или золото в той или иной форме - плюс очко. В ином случае сброс стоимости Колеса добра до начальной.
Танкерге|Плюс очко, если в твоей текущей игре ты видел танк или похожую на танк технику в том числе управлял им. Минус очко в ином случае.
Rolling Girl|Открой видос и посмотри на счетчик просмотров. Если последняя цифра 3 или 9, то - Реролл в инвентарь. Другие цифры - кидается монетка на плюс-минус очко. Если две последние цифры 39 или 93, то получаешь дополнительно Кубик Айзека.|lnk=https://www.youtube.com/watch?v=NIqm73xsias
Dungeons&Dragons|Минус очко если в твоей текущей игре ты был в подземном уровне или видел драконов. Плюс очко в ином случае.
Код доступа: RGG|Плюс 2 очка, если в твоей текущей игре есть пароли и они еще не использовались. Плюс очко, если в твоей текущей игре нет паролей. Минус очко, если пароли есть и они использовались. Под паролями подразумевается любая разновидность комбинаций символов\картинок\предметов\кнопок, которая используется для продолжения игры с какой-либо конкретной точки.
Это База|Плюс очко, если в твоей текущей игре ты видел базу в любом виде. Минус очко в ином случае.
А вот раньше трава зеленее была...|Плюс очко, если в твоей текущей игре ты видел траву. Минус очко в ином случае.
Dat ass|Плюс очко, если в твоей текущей игре есть вид сзади главного героя. Минус очко в ином случае. Считаются любые случаи когда главного героя видно сзади.
Спиндэш|Прямо сейчас перемещаешься по прямой (влево или вправо на свой выбор) в конец линии на карте RGG-LAND. Перемещаться можно только по горизонтали. Реролл Колеса добра если перемещаться некуда или невозможно.
Что там с деньгами?|Плюс очко, если у тебя четное количество монеток. Минус очко, если нечетное. Если монеток ноль, идешь на три клетки назад, ибо надо сбегать от коллекторов.
Ролломешалка|Можешь сейчас изменить порядок своих Спецроллов как тебе захочется. Нельзя трогать Спецроллы повышенного приоритета. Если Спецроллов нет, Спецролл всего один, ты не хочешь менять порядок Спецроллов или в инвентаре только Спецроллы повышенного приоритета - Спецролл NES тебе в инвентарь.
Минус очко, но не всем|Брось кубик d6, а затем сделай ролл из стримеров (включая себя) такое количество раз какое число упало на кубике. Каждый выпавший получает минус очко. Выпавшие стримеры не удаляются.
Плюс очко, но не всем|Брось кубик d6, а затем сделай ролл из стримеров (включая себя) такое количество раз какое число упало на кубике. Каждый выпавший получает плюс очко. Выпавшие стримеры не удаляются.
Проверка везения чатом|Возьми две бумажки и... иди в туалет. Шутка. Напиши на одной бумажке плюс количество очков от 1 до 6, а на другой бумажке минус количество очков от 1 до 6. Цифры должны быть одинаковые! К примеру. +4 и -4 или +2 и -2. Затем покажи эти бумажки обратной стороной на вебке чату, а в чате запускается голосование на минуту какую бумажку выбрать. За какую бумажку проголосовало больше - такое количество очков ты и получаешь. Не мухлевать! Если стримишь без вебки - реролл Колеса добра.
Нюанс|Ты получаешь три Мошны, но есть нюанс - весь остальной твой инвентарь уничтожается, кроме твоего любимого Эффекта без счетчика (если у тебя таковой есть).
Hюaнc|Ты получаешь плюс 20 очков, но есть нюанс. Эти плюс 20 очков находятся в Свинье-копилке, которая находится в Бегемоте, который находится в Сейфе, который находится в Моллюске.
Нюaнc|Покрути три Колеса добра бесплатно, но есть нюанс - выпавшие пункты получает также выбранный тобой другой участник RGG-LAND. Выбранный стример должен быть онлайн. Эти пункты действуют как на тебя так и на выбранного. Пункты, которые невозможны к выполнению - рероллятся и не удаляются из Колеса. Если ты единственный в онлайне - реролл Колеса добра.
Hюaнс|Ты получаешь плюс 16 очков, но есть нюанс! Ты и еще три стримера в онлайне на твой выбор должны собраться в дискорде и договориться, что вы честно разделите очки пополам. Каждый из стримеров должен написать на бумажке «Поделить» или «Взять себе», не говоря другим что написал. Затем все дружно показывают бумажки на вебку. Если все написали «Поделить», то каждому по плюс 4 очка. Если хотя бы один написал «Взять себе», то очки получают те кто написал «Взять себе» (если один - плюс 16, если два - плюс 8, если три - плюс 5 очков), а те кто написал «Поделить» ничего не получают. Если все четверо написали «Взять себе», то жадины наказаны - всем по минус 5 очков. Если участников онлайн недостаточно для выполнения пункта, ты и/или все другие стримеры в онлайне стримите без вебки - реролл Колеса добра и никаких очков.
Нюанc|Брось кубик d20 и иди на выпавшее число вперед. Но есть нюанс! Передвигаешься ты раздельными шагами по одной клетке.
Нюaнс|Ты добавляешь Меч тысячи истин себе в инвентарь, но есть нюанс - добавляешь ты его в виде Спецролла с таким же названием! А когда пройдешь игру из данного Спецролла, то получишь Легендарный Лутбокс.
